Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Thông tin khác,Lịch sử giá,Khoảng giá
Phường Vĩnh Phúc,Ba Đình,Hà Nội,Công ty CP đầu tư & xây dựng Ba Đình số 1,Khu nhà ở số 6 Đội Nhân,94 m²,"5,99 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Mới sắm toàn bộ, sẵn cho hộ gia đình ở lâu dài",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,Tập đoàn Lã Vọng,Louis City Hoàng Mai,95 m²,"27,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,5 m,Đông,Đông,"Đường vào: 17,5 m; Số tầng: 5 tầng","Giá T10/22: 150 tr/m²; Giá T11/22: 150 tr/m²; Giá T12/22: 145 tr/m²; Giá T1/23: 145 tr/m²; Giá T2/23: 152,9 tr/m²; Giá T3/23: 135 tr/m²; Giá T4/23: 164,5 tr/m²; Giá T5/23: 153,1 tr/m²; Giá T6/23: 140,6 tr/m²; Giá T7/23: 149,6 tr/m²; Giá T8/23: 160 tr/m²; Giá T9/23: 162,9 tr/m²; Giá T10/23: 150 tr/m²; Giá T11/23: 160 tr/m²; Giá T12/23: 158,6 tr/m²; Giá T1/24: 167,5 tr/m²; Giá T2/24: 150 tr/m²; Giá T3/24: 167,9 tr/m²; Giá T4/24: 209 tr/m²; Giá T5/24: 218,8 tr/m²; Giá T6/24: 230,7 tr/m²; Giá T7/24: 232,6 tr/m²; Giá T8/24: 243,8 tr/m²; Giá T9/24: 232,4 tr/m²; Giá T10/24: 260 tr/m²;  ","131,6 182,7; 130 197; 128,5 198; 133 256,6; 130 252; 125 150,5; 136 261,4; 125 250; 120,8 268,5; 130 224,7; 136 240; 137,2 229,6; 135 187; 145 185,8; 140,9 195,5; 142,8 251; 135 218,8; 144,3 250; 165 255,7; 160 279,9; 179,8 262,9; 177 282,8; 175 348,2; 176,1 270,5; 180 348,2"
Xã Đông Hội,Đông Anh,Hà Nội,Tập đoàn Vingroup,Vinhomes Cổ Loa,70 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Không có thông tin,Tây - Bắc,Đông - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Dương Xá,Gia Lâm,Hà Nội,CapitaLand Development (Việt Nam),Chung cư The Senique Hanoi,54 m²,"4,7 tỷ/m²",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Đông - Nam,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Trung Văn,Nam Từ Liêm,Hà Nội,Công ty CP Đầu tư - Xây dựng Hà Nội,Khu đô thị Trung Văn - Hancic,120 m²,6 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Ngoại nhập,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá Q4/22: 29,4 tr/m²; Giá Q4/22: 29,4 tr/m²; Giá Q1/23: 30,4 tr/m²; Giá Q1/23: 30,4 tr/m²; Giá Q1/23: 30,4 tr/m²; Giá Q1/23: 30,4 tr/m²; Giá Q2/23: 31 tr/m²; Giá Q2/23: 31 tr/m²; Giá Q2/23: 31 tr/m²; Giá Q3/23: 32,6 tr/m²; Giá Q3/23: 32,6 tr/m²; Giá Q3/23: 32,6 tr/m²; Giá Q3/23: 32,6 tr/m²; Giá Q4/23: 35 tr/m²; Giá Q4/23: 35 tr/m²; Giá Q4/23: 35 tr/m²; Giá Q1/24: 37,4 tr/m²; Giá Q1/24: 37,4 tr/m²; Giá Q1/24: 37,4 tr/m²; Giá Q1/24: 37,4 tr/m²; Giá Q2/24: 39,9 tr/m²; Giá Q2/24: 39,9 tr/m²; Giá Q2/24: 39,9 tr/m²; Giá Q3/24: 43,8 tr/m²; Giá Q3/24: 43,8 tr/m²;  ","27,7 34,4; 27,7 34,4; 27,5 35,1; 27,5 35,1; 27,5 35,1; 27,5 35,1; 27,6 33,2; 27,6 33,2; 27,6 33,2; 28,8 38,2; 28,8 38,2; 28,8 38,2; 28,8 38,2; 28,8 44,9; 28,8 44,9; 28,8 44,9; 32 49,2; 32 49,2; 32 49,2; 32 49,2; 36,8 47,4; 36,8 47,4; 36,8 47,4; 37,6 49,4; 37,6 49,4"
Phường Quảng An,Tây Hồ,Hà Nội,Tân Hoàng Minh Group,D’. Le Roi Soleil,111 m²,"12,85 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 75,7 tr/m²; Giá T11/22: 79,6 tr/m²; Giá T12/22: 77,3 tr/m²; Giá T1/23: 73 tr/m²; Giá T2/23: 82,2 tr/m²; Giá T3/23: 81,3 tr/m²; Giá T4/23: 85,2 tr/m²; Giá T5/23: 77,2 tr/m²; Giá T6/23: 70,3 tr/m²; Giá T7/23: 78,7 tr/m²; Giá T8/23: 75,8 tr/m²; Giá T9/23: 86,2 tr/m²; Giá T10/23: 86,2 tr/m²; Giá T11/23: 90,9 tr/m²; Giá T12/23: 90,4 tr/m²; Giá T1/24: 90,9 tr/m²; Giá T2/24: 89,2 tr/m²; Giá T3/24: 93,7 tr/m²; Giá T4/24: 87,9 tr/m²; Giá T5/24: 85,6 tr/m²; Giá T6/24: 102,5 tr/m²; Giá T7/24: 106,8 tr/m²; Giá T8/24: 106,2 tr/m²; Giá T9/24: 104,4 tr/m²; Giá T10/24: 112 tr/m²;  ","62,5 104,2; 65,6 98,9; 64,4 97,6; 60 108,9; 68,2 101,8; 64,1 110,8; 63,7 105,8; 63,8 96,4; 62,8 88,9; 65 97,1; 60,4 90,3; 60,5 102,8; 63,8 145; 64,2 105,3; 67,6 121,7; 70,9 110,9; 68,8 134,1; 73 130,4; 71,6 129,7; 67,8 114,4; 71,9 130,3; 84,2 143,6; 80,9 139,3; 79,5 148,9; 80,8 141,2"
Tây Mỗ,Nam Từ Liêm,Hà Nội,Tập đoàn Vingroup,Vinhomes Smart City,64 m²,65 triệu/m²,Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 41,9 tr/m²; Giá T11/22: 41,7 tr/m²; Giá T12/22: 41,6 tr/m²; Giá T1/23: 42 tr/m²; Giá T2/23: 41,9 tr/m²; Giá T3/23: 41,7 tr/m²; Giá T4/23: 41,8 tr/m²; Giá T5/23: 40,9 tr/m²; Giá T6/23: 41,4 tr/m²; Giá T7/23: 42 tr/m²; Giá T8/23: 43,1 tr/m²; Giá T9/23: 43,7 tr/m²; Giá T10/23: 44,2 tr/m²; Giá T11/23: 45,7 tr/m²; Giá T12/23: 46,7 tr/m²; Giá T1/24: 47,6 tr/m²; Giá T2/24: 47,2 tr/m²; Giá T3/24: 51,2 tr/m²; Giá T4/24: 52,3 tr/m²; Giá T5/24: 53,5 tr/m²; Giá T6/24: 54,7 tr/m²; Giá T7/24: 55,9 tr/m²; Giá T8/24: 59,9 tr/m²; Giá T9/24: 62,8 tr/m²; Giá T10/24: 64,4 tr/m²;  ","36,6 48,5; 36,4 51,8; 35,7 50; 37 48,9; 36 53,2; 36,7 50,9; 37 52; 37 51,6; 36,5 53; 37,1 50,3; 38 51,5; 38,8 54,7; 40 54; 41,7 60,1; 41,8 56; 40,1 57,1; 40,5 55,7; 41,7 62,5; 44,6 63,6; 45,9 62,8; 48,4 61,6; 47,2 65,6; 51,7 70; 53,4 73,4; 58,3 75,9"
Phường Dương Nội,Hà Đông,Hà Nội,Công ty CP Tập đoàn Nam Cường Hà Nội,Solasta Mansion Dương Nội,170 m²,138 triệu/m²,4 phòng,4 phòng,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Số tầng: 4 tầng,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Mai Dịch,Cầu Giấy,Hà Nội,Công ty CP Đầu tư Bất động sản Toàn Cầu (GP Invest),Chung cư The Nine,77 m²,"7,2 tỷ",2 phòng,2 phòng,Không có thông tin,Nội thất cơ bản.,Không có thông tin,Không có thông tin,Nam,Không có thông tin,"Giá T10/22: 54,8 tr/m²; Giá T11/22: 56 tr/m²; Giá T12/22: 56 tr/m²; Giá T1/23: 56,4 tr/m²; Giá T2/23: 56,3 tr/m²; Giá T3/23: 65,4 tr/m²; Giá T4/23: 64,1 tr/m²; Giá T5/23: 62,9 tr/m²; Giá T6/23: 64,9 tr/m²; Giá T7/23: 64,1 tr/m²; Giá T8/23: 62,2 tr/m²; Giá T9/23: 64,1 tr/m²; Giá T10/23: 63,4 tr/m²; Giá T11/23: 62,8 tr/m²; Giá T12/23: 63,7 tr/m²; Giá T1/24: 65 tr/m²; Giá T2/24: 66,8 tr/m²; Giá T3/24: 73,9 tr/m²; Giá T4/24: 76 tr/m²; Giá T5/24: 74,6 tr/m²; Giá T6/24: 75,8 tr/m²; Giá T7/24: 76,5 tr/m²; Giá T8/24: 82 tr/m²; Giá T9/24: 83,9 tr/m²; Giá T10/24: 85,9 tr/m²;  ","50 64,2; 50,8 64,7; 50,3 65,4; 54,4 57,1; 50,5 64,9; 54,3 68,5; 58 67,4; 61 69,7; 59,2 68,7; 57 67,6; 57,1 70,2; 59,2 68,8; 58,9 70,7; 58,1 69; 56,9 70,2; 58,6 77,4; 59 76,1; 63 85,9; 67,8 87,8; 66 86,4; 67,7 87,8; 67,8 87,3; 70,6 88,7; 72,8 91,6; 76,1 100,1"
Phường Trung Hòa,Cầu Giấy,Hà Nội,Tổng công ty Đầu tư Phát triển Hạ tầng đô thị - UDIC,Khu đô thị Trung Yên,207 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 241 tr/m²; Giá T11/22: 271,7 tr/m²; Giá T12/22: 243,3 tr/m²; Giá T1/23: 361,1 tr/m²; Giá T2/23: 320,3 tr/m²; Giá T3/23: 242,3 tr/m²; Giá T4/23: 274,6 tr/m²; Giá T5/23: 304,9 tr/m²; Giá T6/23: 322,3 tr/m²; Giá T7/23: 286,3 tr/m²; Giá T8/23: 277,2 tr/m²; Giá T9/23: 288,9 tr/m²; Giá T10/23: 289,5 tr/m²; Giá T11/23: 294,6 tr/m²; Giá T12/23: 283,6 tr/m²; Giá T1/24: 307,6 tr/m²; Giá T2/24: 311,7 tr/m²; Giá T3/24: 296,9 tr/m²; Giá T4/24: 320 tr/m²; Giá T5/24: 301,9 tr/m²; Giá T6/24: 305,7 tr/m²; Giá T7/24: 355,9 tr/m²; Giá T8/24: 375,5 tr/m²; Giá T9/24: 355,9 tr/m²; Giá T10/24: 337,9 tr/m²;  ","203,2 382,7; 212,1 375,1; 191,7 351,1; 238,2 471,5; 234,8 428,6; 196,4 394,7; 189,2 386,6; 193,7 500,9; 214,8 349,8; 172 351,5; 224,8 341; 230 335,2; 238,8 334; 204,4 386,7; 250,2 394; 250 356; 243,2 392; 238 367,3; 263,3 375,5; 250 384,4; 249,1 405; 291,7 403,2; 248,5 431,3; 251,2 438,9; 250 464,4"
Phường Xuân La,Tây Hồ,Hà Nội,Công ty TNHH Phát triển T.H.T,KĐT Tây Hồ Tây - Starlake Hà Nội,"195,5 m²",590 triệu/m²,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,8 m,Đông,Đông,Đường vào: 30 m; Số tầng: 5 tầng,"Giá Q3/22: 425 tr/m²; Giá Q3/22: 425 tr/m²; Giá Q4/22: 380 tr/m²; Giá Q4/22: 380 tr/m²; Giá Q4/22: 380 tr/m²; Giá Q1/23: 449 tr/m²; Giá Q1/23: 449 tr/m²; Giá Q1/23: 449 tr/m²; Giá Q2/23: 420 tr/m²; Giá Q2/23: 420 tr/m²; Giá Q2/23: 420 tr/m²; Giá Q3/23: 423,8 tr/m²; Giá Q3/23: 423,8 tr/m²; Giá Q3/23: 423,8 tr/m²; Giá Q4/23: 460 tr/m²; Giá Q4/23: 460 tr/m²; Giá Q4/23: 460 tr/m²; Giá Q1/24: 484,5 tr/m²; Giá Q1/24: 484,5 tr/m²; Giá Q1/24: 484,5 tr/m²; Giá Q2/24: 498,5 tr/m²; Giá Q2/24: 498,5 tr/m²; Giá Q2/24: 498,5 tr/m²; Giá Q3/24: 625,9 tr/m²; Giá Q3/24: 625,9 tr/m²;  ","380 571; 380 571; 349,8 544,4; 349,8 544,4; 349,8 544,4; 305 522; 305 522; 305 522; 305 613,9; 305 613,9; 305 613,9; 354,5 561; 354,5 561; 354,5 561; 360,5 731,5; 360,5 731,5; 360,5 731,5; 299,5 629,1; 299,5 629,1; 299,5 629,1; 290 764,5; 290 764,5; 290 764,5; 385,2 769,9; 385,2 769,9"
Xã An Khánh,Hoài Đức,Hà Nội,Tập đoàn Vingroup,Vinhomes Thăng Long,"93,5 m²",16 tỷ,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,10 m,Đông - Nam,Đông - Nam,Đường vào: 20 m; Số tầng: 4 tầng,"Giá T10/22: 151,4 tr/m²; Giá T11/22: 151,5 tr/m²; Giá T12/22: 152,6 tr/m²; Giá T1/23: 143,1 tr/m²; Giá T2/23: 146,1 tr/m²; Giá T3/23: 144,5 tr/m²; Giá T4/23: 143,8 tr/m²; Giá T5/23: 119,7 tr/m²; Giá T6/23: 126,6 tr/m²; Giá T7/23: 130,5 tr/m²; Giá T8/23: 136,4 tr/m²; Giá T9/23: 135 tr/m²; Giá T10/23: 144,8 tr/m²; Giá T11/23: 133,8 tr/m²; Giá T12/23: 137,5 tr/m²; Giá T1/24: 133,1 tr/m²; Giá T2/24: 141,2 tr/m²; Giá T3/24: 147,5 tr/m²; Giá T4/24: 153,8 tr/m²; Giá T5/24: 153,5 tr/m²; Giá T6/24: 155,2 tr/m²; Giá T7/24: 162,3 tr/m²; Giá T8/24: 165,7 tr/m²; Giá T9/24: 178,4 tr/m²; Giá T10/24: 180,9 tr/m²;  ","138 187,7; 130,7 192,9; 113,8 178,1; 115,2 170,8; 124,1 167,8; 116,9 177,4; 118,9 161,7; 110,3 159,2; 109,8 168,6; 119,6 169; 113,9 159,2; 118,1 166,7; 127,1 170,4; 122,3 173,1; 123,5 179,6; 125,7 179,5; 129,1 180; 129,9 169,2; 129,4 171,7; 129,9 196,4; 130 198,6; 136,4 192,4; 138,4 202; 140 203,5; 161,7 254,8"
Thanh Xuân Trung,Thanh Xuân,Hà Nội,Công ty CP Đầu tư Dịch vụ Tài chính Hoàng Huy,Golden Land,145 m²,60 triệu/m²,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 39,5 tr/m²; Giá T11/22: 39 tr/m²; Giá T12/22: 37,3 tr/m²; Giá T1/23: 35,7 tr/m²; Giá T2/23: 37,9 tr/m²; Giá T3/23: 37,4 tr/m²; Giá T4/23: 37,7 tr/m²; Giá T5/23: 37,1 tr/m²; Giá T6/23: 37,5 tr/m²; Giá T7/23: 37,4 tr/m²; Giá T8/23: 37,5 tr/m²; Giá T9/23: 38,3 tr/m²; Giá T10/23: 38 tr/m²; Giá T11/23: 39 tr/m²; Giá T12/23: 41,5 tr/m²; Giá T1/24: 43,3 tr/m²; Giá T2/24: 44,8 tr/m²; Giá T3/24: 46,4 tr/m²; Giá T4/24: 52,7 tr/m²; Giá T5/24: 50 tr/m²; Giá T6/24: 50 tr/m²; Giá T7/24: 53,3 tr/m²; Giá T8/24: 55,8 tr/m²; Giá T9/24: 57,3 tr/m²; Giá T10/24: 59,3 tr/m²;  ","35,8 43,7; 35,7 46,2; 33,8 40,8; 33 40,5; 32,2 42,2; 33,9 49,3; 33,1 48,2; 33,8 40,4; 32,5 41; 34,7 52,8; 34,8 51,6; 35,2 51,5; 34,1 47,1; 36,1 48; 37 55,7; 38,1 57,4; 40 49,4; 40,6 59,7; 45 63,9; 44,7 62,8; 44,9 62; 46 64,6; 49,6 61,9; 52,3 66; 53 87,9"
Quang Minh,Mê Linh,Hà Nội,Công Ty CP Đầu Tư Xây dựng Long Việt,Long Việt Riverside,70 m²,"8,9 tỷ",6 phòng,4 phòng,Hợp đồng mua bán,Đầy đủ,5 m,Đông - Bắc,Đông - Bắc,Đường vào: 12 m; Số tầng: 4 tầng,"Giá Q3/22: 59,1 tr/m²; Giá Q3/22: 59,1 tr/m²; Giá Q4/22: 60,7 tr/m²; Giá Q4/22: 60,7 tr/m²; Giá Q4/22: 60,7 tr/m²; Giá Q1/23: 66,7 tr/m²; Giá Q1/23: 66,7 tr/m²; Giá Q1/23: 66,7 tr/m²; Giá Q2/23: 58,6 tr/m²; Giá Q2/23: 58,6 tr/m²; Giá Q2/23: 58,6 tr/m²; Giá Q3/23: 51,3 tr/m²; Giá Q3/23: 51,3 tr/m²; Giá Q3/23: 51,3 tr/m²; Giá Q4/23: 64,4 tr/m²; Giá Q4/23: 64,4 tr/m²; Giá Q4/23: 64,4 tr/m²; Giá Q1/24: 62,9 tr/m²; Giá Q1/24: 62,9 tr/m²; Giá Q1/24: 62,9 tr/m²; Giá Q2/24: 64 tr/m²; Giá Q2/24: 64 tr/m²; Giá Q2/24: 64 tr/m²; Giá Q3/24: 74 tr/m²; Giá Q3/24: 74 tr/m²;  ","46,5 62,1; 46,5 62,1; 55 68,4; 55 68,4; 55 68,4; 56,9 72,4; 56,9 72,4; 56,9 72,4; 49,6 83,6; 49,6 83,6; 49,6 83,6; 43,5 67,1; 43,5 67,1; 43,5 67,1; 44,3 87,1; 44,3 87,1; 44,3 87,1; 46,6 86,7; 46,6 86,7; 46,6 86,7; 53,9 96,9; 53,9 96,9; 53,9 96,9; 49,1 93,4; 49,1 93,4"
Xã Đông Hội,Đông Anh,Hà Nội,Tập đoàn Vingroup,Vinhomes Cổ Loa,60 m²,Thỏa thuận,2 phòng,Không có thông tin,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Mễ Trì,Nam Từ Liêm,Hà Nội,Công ty Cổ phần Đầu tư Mai Linh,The Matrix One,87 m²,100 triệu/m²,Không có thông tin,Không có thông tin,Hợp đồng mua bán,Cơ bản,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 58 tr/m²; Giá T11/22: 57,5 tr/m²; Giá T12/22: 57,2 tr/m²; Giá T1/23: 57,4 tr/m²; Giá T2/23: 57 tr/m²; Giá T3/23: 58,2 tr/m²; Giá T4/23: 57 tr/m²; Giá T5/23: 57,7 tr/m²; Giá T6/23: 57,7 tr/m²; Giá T7/23: 56 tr/m²; Giá T8/23: 57,4 tr/m²; Giá T9/23: 58 tr/m²; Giá T10/23: 59,5 tr/m²; Giá T11/23: 61,8 tr/m²; Giá T12/23: 61,4 tr/m²; Giá T1/24: 61,6 tr/m²; Giá T2/24: 66,4 tr/m²; Giá T3/24: 70,8 tr/m²; Giá T4/24: 69,4 tr/m²; Giá T5/24: 70,3 tr/m²; Giá T6/24: 70,8 tr/m²; Giá T7/24: 80 tr/m²; Giá T8/24: 87,7 tr/m²; Giá T9/24: 90 tr/m²; Giá T10/24: 97,7 tr/m²;  ","52,9 65,5; 51,1 67,3; 52,7 70; 51,5 61,3; 51,7 65,2; 51,8 101,3; 51,8 64,9; 49,9 62,3; 51,8 62,5; 51,8 101,9; 52,7 64,8; 53,1 65,7; 53,3 70; 54 73,9; 53,6 72,5; 56,1 74,9; 59,6 84,9; 60,2 87,3; 56,9 101,8; 60 98,1; 59,7 92,6; 64,4 100; 70,8 120; 65,8 120; 77,2 120"
Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,"42,5 m²","2,54 tỷ",2 phòng,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Đông - Bắc,Tây - Nam,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Xã Đa Tốn,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,"69,2 m²","2,95 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Nội thất: Bàn giao nguyên bản chủ đầu tư.,Không có thông tin,Không có thông tin,Đông - Bắc,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Phường Vĩnh Phúc,Ba Đình,Hà Nội,Công ty CP đầu tư & xây dựng Ba Đình số 1,Khu nhà ở số 6 Đội Nhân,94 m²,"5,99 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Mới sắm toàn bộ, sẵn cho hộ gia đình ở lâu dài",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Hoàng Văn Thụ,Hoàng Mai,Hà Nội,Tập đoàn Lã Vọng,Louis City Hoàng Mai,95 m²,"27,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,5 m,Đông,Đông,"Đường vào: 17,5 m; Số tầng: 5 tầng","Giá T10/22: 150 tr/m²; Giá T11/22: 150 tr/m²; Giá T12/22: 145 tr/m²; Giá T1/23: 145 tr/m²; Giá T2/23: 152,9 tr/m²; Giá T3/23: 135 tr/m²; Giá T4/23: 164,5 tr/m²; Giá T5/23: 153,1 tr/m²; Giá T6/23: 140,6 tr/m²; Giá T7/23: 149,6 tr/m²; Giá T8/23: 160 tr/m²; Giá T9/23: 162,9 tr/m²; Giá T10/23: 150 tr/m²; Giá T11/23: 160 tr/m²; Giá T12/23: 158,6 tr/m²; Giá T1/24: 167,5 tr/m²; Giá T2/24: 150 tr/m²; Giá T3/24: 167,9 tr/m²; Giá T4/24: 209 tr/m²; Giá T5/24: 218,8 tr/m²; Giá T6/24: 230,7 tr/m²; Giá T7/24: 232,6 tr/m²; Giá T8/24: 243,8 tr/m²; Giá T9/24: 232,4 tr/m²; Giá T10/24: 260 tr/m²;  ","131,6 182,7; 130 197; 128,5 198; 133 256,6; 130 252; 125 150,5; 136 261,4; 125 250; 120,8 268,5; 130 224,7; 136 240; 137,2 229,6; 135 187; 145 185,8; 140,9 195,5; 142,8 251; 135 218,8; 144,3 250; 165 255,7; 160 279,9; 179,8 262,9; 177 282,8; 175 348,2; 176,1 270,5; 180 348,2"
Phường Phú La,Quận Hà Đông,Hà Nội,Công ty CP Đầu tư Văn Phú - Invest,Khu đô thị mới Văn Phú,96 m²,16 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,"4,5 m",Đông - Nam,Đông - Nam,"Đường vào: 14,5 m; Số tầng: 4 tầng","Giá T10/22: 144,7 tr/m²; Giá T11/22: 151 tr/m²; Giá T12/22: 145,4 tr/m²; Giá T1/23: 138,9 tr/m²; Giá T2/23: 131,1 tr/m²; Giá T3/23: 140 tr/m²; Giá T4/23: 128 tr/m²; Giá T5/23: 129 tr/m²; Giá T6/23: 129,4 tr/m²; Giá T7/23: 129,9 tr/m²; Giá T8/23: 138,9 tr/m²; Giá T9/23: 140,2 tr/m²; Giá T10/23: 141,2 tr/m²; Giá T11/23: 138,9 tr/m²; Giá T12/23: 145,2 tr/m²; Giá T1/24: 150 tr/m²; Giá T2/24: 147,9 tr/m²; Giá T3/24: 170,1 tr/m²; Giá T4/24: 177 tr/m²; Giá T5/24: 196,8 tr/m²; Giá T6/24: 186,6 tr/m²; Giá T7/24: 200 tr/m²; Giá T8/24: 209,7 tr/m²; Giá T9/24: 210 tr/m²; Giá T10/24: 212,5 tr/m²;  ","112,1 214,4; 116,7 214,2; 114,4 212,9; 111,3 199; 102,8 208; 110,5 210; 102,1 197,6; 104 183,4; 108,2 170,9; 108,4 223,4; 106,7 184,1; 111,1 230,5; 111,1 250; 111,1 239,4; 112,6 265,6; 120 273,4; 125,8 267,3; 130 256,1; 133,3 257,8; 139,5 268; 135 271,4; 138,8 293,7; 147,9 297,4; 162,4 320,6; 163,6 321"
Trâu Quỳ,Gia Lâm,Hà Nội,Masterise Homes,The Lake,"45,5 m²",Thỏa thuận,1 phòng,1 phòng,Hợp đồng mua bán,Không có thông tin,Không có thông tin,Tây - Nam,Tây - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
