Tên dự án,Mức giá
Tòa nhà Petrowaco - 97 Láng Hạ,35.0
Tòa nhà Vinaconex 1,43.27
Tổ hợp 173 Xuân Thủy,54.55
Tổ hợp 310 Minh Khai,51.02
Tổ hợp chung cư Thủy Lợi Tower,41.28
Tứ Hiệp Plaza,39.52
Udic Westlake,60.0
Unimax Twin Tower,48.89
Usilk City,51.02
VOV Mễ Trì,60.0
VP3 Linh Đàm,56.23
VP5 Linh Đàm,53.66
VP6 Linh Đàm,39.86
Valencia Garden,51.9
Vimeco II - Nguyễn Chánh,60.71
Vimeco Phạm Hùng,65.22
Vinaconex 7,42.31
Vinhomes Cổ Loa,76.47
Vinhomes D'Capitale,38.89
Vinhomes Gardenia,53.75
Vinhomes Green Bay Mễ Trì,39.29
Vinhomes Green Villas,143.0
Vinhomes Metropolis - Liễu Giai,99.88
Vinhomes Nguyễn Chí Thanh,101.8
Vinhomes Ocean Park Gia Lâm,41.67
Vinhomes Riverside,225.0
Vinhomes Skylake,46.51
Vinhomes Smart City,45.38
Vinhomes Symphony Riverside,67.57
Vinhomes The Harmony,275.86
Vinhomes Times City - Park Hill,68.67
Vinhomes West Point,51.47
Viwaseen Tower,60.0
Việt Đức Complex,35.51
Văn Phú Victoria,50.86
Xanh Villas,46.0
Xuân Mai Complex,40.19
Xuân Mai Riverside,53.73
Xuân Mai Sparks Tower,50.0
Xuân Mai Tower - CT2 Tô Hiệu,50.77
Xuân Phương Residence,42.76
Xuân Phương Tasco,158.33
Đồng Phát Park View Tower,52.56
