Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Mã lịch sử giá
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,86.0,202.906982421875,6.0,5.0,Đầy đủ,Đầy đủ,5 m,Đông - Nam,Đông - Nam,M
An Khánh,Hoài Đức,Tập đoàn Vingroup,Vinhomes Thăng Long,286.0,227.27272033691406,4.0,4.0,Đầy đủ,Cơ bản,10 m,Nam,Nam,M
Cống Vị,Ba Đình,Tư nhân,Tư nhân,75.0,346.6666564941406,4.0,5.0,Đầy đủ,Cơ bản,"8,7 m",Tây,Tây,M
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,138.0,471.0144958496094,5.0,6.0,Đầy đủ,Cơ bản,"7,75 m",Đông - Nam,Đông - Nam,Q
Mỗ Lao,Hà Đông,Tư nhân,Tư nhân,53.5,327.1028137207031,3.0,5.0,Đầy đủ,Không nội thất,"3,9 m",Đông - Nam,Đông - Nam,M
Tân Lập,Đan Phượng,Tư nhân,Tư nhân,43.3,151.0,4.0,3.0,Đầy đủ,Đầy đủ,5 m,Tây - Nam,Đông,Q
Bồ Đề,Long Biên,Tư nhân,Tư nhân,90.0,176.11111450195312,4.0,4.0,Đầy đủ,Cơ bản,"7,2 m",Tây,Tây,M
Nhân Chính,Thanh Xuân,Công ty CP Đầu tư Xây dựng Phát triển nhà số 7 Hà Nội,HDI Homes Nguyễn Tuân,98.0,408.16326904296875,4.0,5.0,Đầy đủ,Đầy đủ,"7,5 m",Đông - Nam,Đông - Nam,Q
Mỹ Đình 1,Nam Từ Liêm,Tư nhân,Tư nhân,60.0,225.0,18.0,18.0,Đầy đủ,Cơ bản,"3,9 m",Tây - Bắc,Tây - Bắc,M
Đức Thượng,Hoài Đức,Tư nhân,Tư nhân,70.0,57.14285659790039,2.0,1.0,Đầy đủ,Đầy đủ,5 m,Đông - Nam,Đông - Bắc,Q
Trung Văn,Nam Từ Liêm,Công ty CP Tập đoàn Nam Cường Hà Nội,Khu đô thị mới Phùng Khoang,70.0,285.71429443359375,4.0,3.0,Đầy đủ,Không nội thất,5 m,Đông - Bắc,Đông - Bắc,M
Sài Đồng,Long Biên,Tư nhân,Tư nhân,48.0,185.4166717529297,4.0,3.0,Đầy đủ,Cơ bản,"4,5 m",Tây - Bắc,Tây - Bắc,M
Phụng Châu,Chương Mỹ,Tư nhân,Tư nhân,32.0,75.0,3.0,3.0,Đầy đủ,Cơ bản,"3,5 m",Đông - Bắc,Đông - Bắc,M
Ba Trại,Ba Vì,Tư nhân,Tư nhân,4162.0,3.363767385482788,3.0,2.0,Đầy đủ,Đầy đủ,80 m,Tây - Nam,Tây - Nam,N
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,99.0,383.83837890625,7.0,4.0,Đầy đủ,Đầy đủ,"6,6 m",Tây - Bắc,Đông - Nam,M
Xuân Phương,Nam Từ Liêm,Tư nhân,Tư nhân,34.0,208.8235321044922,3.0,4.0,Đầy đủ,Cơ bản,"5,6 m",Đông,Đông,M
