Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,120.0,149.1666717529297,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Không có thông tin,Đông - Nam,M
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,Căn hộ chung cư,130.0,884.6153564453125,3.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,55.0,145.4545440673828,1.0,1.0,4,3,Không có thông tin,,,3.0,1544.0,Không có thông tin,Đông - Nam,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,82.0,154.8780517578125,2.0,2.0,4,4,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Không có thông tin,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,80.0,172.5,2.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Đông - Bắc,Tây - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,86.0,116.27906799316406,2.0,2.0,4,1,Không có thông tin,,,,,Nam,Không có thông tin,N
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,120.0,125.0,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,130.0,2.0,2.0,3,1,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,N
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,Căn hộ chung cư,142.0,105.0,3.0,3.0,4,2,Không có thông tin,,,,,Đông - Nam,Tây - Bắc,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,82.0,146.34146118164062,2.0,2.0,4,1,Không có thông tin,,,3.0,1544.0,Đông - Nam,Tây - Bắc,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,500.0,200.0,4.0,3.0,4,3,Không có thông tin,,,3.0,1544.0,Nam,Đông - Bắc,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,80.0,150.0,2.0,2.0,4,1,Không có thông tin,,,3.0,1544.0,Không có thông tin,Không có thông tin,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,120.0,170.8333282470703,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Đông - Nam,Tây - Nam,M
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,460.0,217.3913116455078,5.0,5.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Ngọc Khánh,Ba Đình,Công ty CP Hạ tầng và Bất động sản Việt Nam,Platinum Residences,Căn hộ chung cư,118.0,73.72881317138672,2.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,130.0,106.92308044433594,3.0,2.0,4,2,Không có thông tin,,,3.0,1544.0,Tây - Nam,Đông - Bắc,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,108.0,130.0,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
