Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Giảng Võ,Ba Đình,Công ty CP Đầu tư Phát triển nhà Gia Bảo,Chung cư D2 Giảng Võ,Căn hộ chung cư,200.0,90.0,4.0,3.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,3,1,Không có thông tin,,,,,Không có thông tin,Đông - Nam,N
29,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,108.0,135.0,3.0,3.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,207.0,120.77294921875,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây,Đông - Nam,M
Giảng Võ,Ba Đình,Công ty TNHH Nhà nước một thành viên Thăng Long GTC,Chung cư 15-17 Ngọc Khánh,Căn hộ chung cư,146.0,73.0,3.0,2.0,4,1,Không có thông tin,,,,,Đông - Nam,Không có thông tin,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,143.0,76.0,3.0,2.0,4,2,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,105.0,152.38095092773438,3.0,2.0,4,3,Không có thông tin,,,,,Đông - Nam,Tây - Bắc,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,88.0,135.0,2.0,2.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,114.0,140.3508758544922,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,142.0,82.39436340332031,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
